Recovered,Recovered_STD,Vaccinated,Dead,Hospitalised,Infected_STD,Time,Dead_STD,Vaccinated_STD,Susceptible,Hospitalised_STD,Infected,Time_STD,Susceptible_STD
1091.59,28.70767275485772,0.0,285.13,356.4,35.63020628623977,67.0,14.048426068424888,0.0,2.32,10.180618841701127,764.56,0.0,0.9297311439335564
1110.38,28.021936050173263,0.0,294.09,352.24,34.36687213000333,68.0,13.889941504556454,0.0,2.11,10.556306172141843,741.18,0.0,0.8885240570744269
1127.85,27.43805523356202,0.0,302.93,348.5,33.346503189989804,69.0,13.961958136307386,0.0,1.95,10.380631002015244,718.77,0.0,0.8842369591913695
1145.22,27.01264333603804,0.0,311.7,344.68,31.88088925986852,70.0,13.909079768266482,0.0,1.74,10.544875532693592,696.66,0.0,0.808146026408594
1162.0,26.809979485258843,0.0,320.57,340.38,31.444031230107893,71.0,13.9574809690001,0.0,1.59,10.730745547258126,675.46,0.0,0.7552979544524132
1178.47,26.440258603122622,0.0,329.26,336.11,30.52892521855297,72.0,13.852728973021884,0.0,1.49,10.931352843998772,654.67,0.0,0.7053190767305249
1194.86,25.89826442061321,0.0,337.53,332.15,29.529898408223485,73.0,14.058708155445865,0.0,1.44,10.827136047912209,634.02,0.0,0.6939740629158989
1209.99,25.76940967503912,0.0,345.44,328.29,28.907470920161792,74.0,14.009339741757996,0.0,1.33,10.788024610650456,614.95,0.0,0.6672892925860568
1225.44,25.60842830007339,0.0,353.64,323.84,27.988184560632007,75.0,13.983118393262641,0.0,1.27,11.079873645488922,595.81,0.0,0.6436419812286953
1239.8,25.114238989067537,0.0,361.97,319.04,26.904041982572064,76.0,13.764711221089966,0.0,1.18,11.193507046497983,578.01,0.0,0.6179805822192149
1254.35,24.610604929582692,0.0,369.71,314.33,26.316391754949993,77.0,13.858804962910764,0.0,1.1,11.219415091705985,560.51,0.0,0.5766281297335398
1267.99,24.177520034114334,0.0,377.69,309.91,25.5487431197701,78.0,13.677846138921142,0.0,1.04,11.090107077932112,543.37,0.0,0.5741080037762928
1281.97,23.852406063120757,0.0,385.78,304.89,24.604219150381503,79.0,13.577109412536972,0.0,1.0,11.234076508552004,526.36,0.0,0.5612486080160912
1295.4,23.28014175214575,0.0,393.22,300.35,23.94840861101213,80.0,13.769455326918346,0.0,0.96,11.134939380167278,510.07,0.0,0.5564171097297421
1308.89,22.572648825514477,0.0,400.92,295.35,23.290673562608706,81.0,13.643804454769937,0.0,0.93,11.002584923553192,493.91,0.0,0.5534211777660847
1321.71,22.407955618485143,0.0,408.39,290.82,22.606730745510283,82.0,13.61027093778812,0.0,0.81,11.106390052577842,478.27,0.0,0.5277073052365296
1333.74,21.857220774837774,0.0,415.34,286.71,22.150769738318353,83.0,13.489295756265413,0.0,0.77,10.972304908267908,463.44,0.0,0.518917141748083
1345.23,21.177565369985285,0.0,422.74,281.53,21.474330606563736,84.0,13.211097607693317,0.0,0.75,10.657263954693063,449.75,0.0,0.4968651728587948
1357.05,20.808937382768974,0.0,429.89,276.9,20.767457114437484,85.0,13.099789120440068,0.0,0.69,10.50749732334013,435.47,0.0,0.47799058568135033
1367.88,20.39856367492574,0.0,436.82,272.59,20.22596351227798,86.0,13.07925456591468,0.0,0.67,10.541844003778465,422.04,0.0,0.4530728418256826
1378.72,19.952954668419412,0.0,443.35,267.66,19.608755059921574,87.0,13.06969299562924,0.0,0.64,10.26723429166784,409.63,0.0,0.4445222154178572
1390.07,19.870110090283845,0.0,449.92,263.07,19.434589653501817,88.0,12.98512225587422,0.0,0.57,10.527405900790566,396.37,0.0,0.4198511641046144
1400.38,19.73268608172745,0.0,456.35,258.47,18.90818010809078,89.0,12.798901320035249,0.0,0.53,10.28383561712263,384.27,0.0,0.40899266497090164
1410.82,19.606934997597147,0.0,462.23,254.52,18.604178966028034,90.0,12.62138165970747,0.0,0.52,10.115206374563002,371.91,0.0,0.3967366884975476
1420.49,19.082124488641195,0.0,468.43,249.94,17.964796130209777,91.0,12.784415317096048,0.0,0.52,10.064993790360727,360.62,0.0,0.3967366884975476
1430.73,18.915582861757123,0.0,474.65,244.24,17.52539514533125,92.0,12.611577022720038,0.0,0.49,10.05388482130166,349.89,0.0,0.39683119837028924
1439.65,18.726501942434417,0.0,480.58,240.06,16.936516761128896,93.0,12.401850668347848,0.0,0.47,10.055302083975398,339.24,0.0,0.37050641020095737
1449.11,18.53050120746873,0.0,486.29,235.53,16.361812246814228,94.0,12.51804597371331,0.0,0.45,10.25389072498825,328.62,0.0,0.34910600109422363
1457.94,18.36856281803234,0.0,491.78,231.17,15.903152989265998,95.0,12.48250375525679,0.0,0.44,10.302197581098897,318.67,0.0,0.34871191548325403
1466.88,17.882991919698444,0.0,497.39,226.22,15.450647235633852,96.0,12.381012680713964,0.0,0.41,10.092219775648964,309.1,0.0,0.3247691487810997
1475.55,17.856143900629835,0.0,502.89,222.03,15.112189616332904,97.0,12.17987992551651,0.0,0.4,10.00586203182914,299.13,0.0,0.32403703492039276
1483.76,17.611660909749542,0.0,508.97,216.73,14.665098022174964,98.0,11.99029920393982,0.0,0.4,9.760085809049018,290.14,0.0,0.32403703492039276
1491.95,17.408672407739772,0.0,514.48,211.96,14.361903599453663,99.0,11.942671392950572,0.0,0.38,9.665122865230428,281.23,0.0,0.31448370387032765
1499.49,17.06817140176416,0.0,519.78,207.33,14.149108629168131,100.0,11.753846179017318,0.0,0.37,9.385375591845005,273.03,0.0,0.31348843678834465
1506.99,17.008600030572772,0.0,525.37,202.94,13.739399550198689,101.0,11.585908466753915,0.0,0.36,9.644900206845065,264.34,0.0,0.3124099870362664
1514.28,16.97204760775788,0.0,530.65,198.16,13.460345463620165,102.0,11.426148738748331,0.0,0.33,9.584289227689238,256.58,0.0,0.2833284313301434
1522.0,16.97056274847714,0.0,535.12,194.2,13.2756120386218,103.0,11.186661700435927,0.0,0.33,9.405051833987944,248.35,0.0,0.2833284313301434
1529.18,16.718310321321354,0.0,539.89,190.06,13.239028476440408,104.0,11.144033156806385,0.0,0.32,9.110932992838878,240.55,0.0,0.2817800560721072
1536.03,16.61843178521969,0.0,544.5,185.9,12.787270037032927,105.0,11.102364613000242,0.0,0.3,9.301747147713701,233.27,0.0,0.278388218141501
1542.48,16.40068291261068,0.0,548.95,182.08,12.527569596693525,106.0,10.96434562570881,0.0,0.29,9.01878040535415,226.2,0.0,0.27654113618049647
1549.0,16.389630868326474,0.0,553.16,178.29,12.392105349778141,107.0,11.141525927807196,0.0,0.28,9.193556167229307,219.27,0.0,0.27459060435491933
1555.44,16.283629816475194,0.0,557.74,173.73,12.021583714303201,108.0,11.145990310421055,0.0,0.28,9.177378438312331,212.81,0.0,0.27459060435491933
1561.94,16.165212649390046,0.0,562.35,169.35,11.9003529359427,109.0,10.927116499790785,0.0,0.28,8.940742418837488,206.08,0.0,0.27459060435491933
1568.01,15.924273138828033,0.0,566.79,165.34,11.581057810062088,110.0,10.66730870463586,0.0,0.28,8.876716735370124,199.58,0.0,0.27459060435491933
1573.44,15.863688095773947,0.0,570.73,162.12,11.388441508828148,111.0,10.765420335500139,0.0,0.27,8.670144174118443,193.44,0.0,0.27253440149823316
1578.62,15.717948339398497,0.0,574.63,158.88,11.13859394178637,112.0,10.740264196005612,0.0,0.24,8.514481781059843,187.63,0.0,0.23579652245103225
1584.25,15.600861354425275,0.0,578.68,154.84,10.986355173577815,113.0,10.714681516498752,0.0,0.23,8.413298996232097,182.0,0.0,0.23296995514443464
1589.2,15.61281524901899,0.0,582.18,151.98,10.84969584827151,114.0,10.784567677936838,0.0,0.22,8.478791187427605,176.42,0.0,0.23000000000000032
1594.15,15.317698097299086,0.0,585.86,148.3,10.598698033249178,115.0,10.826823172103627,0.0,0.21,8.419471479849554,171.48,0.0,0.2155806113731011
1599.11,15.315661102283505,0.0,589.8,144.31,10.35306234888982,116.0,10.592922165295091,0.0,0.2,8.189839742021817,166.58,0.0,0.2121320343559641
1604.28,14.988008540163033,0.0,593.34,140.96,10.079082299495326,117.0,10.466188417948532,0.0,0.2,7.941637110822934,161.22,0.0,0.2121320343559641
1608.87,14.868028618482006,0.0,596.95,137.28,9.806195745547809,118.0,10.53716636482503,0.0,0.19,8.026854925809983,156.71,0.0,0.20850659461993035
1613.82,14.812390083980372,0.0,600.4,133.56,9.684641191081887,119.0,10.519980988575979,0.0,0.19,7.616534645099435,152.03,0.0,0.20850659461993035
1618.36,14.683752926278755,0.0,603.51,130.27,9.40475411693469,120.0,10.604361131157315,0.0,0.18,7.577550725663272,147.68,0.0,0.19209372712298567
1622.81,14.444323279406337,0.0,606.65,127.0,9.10288965109432,121.0,10.52909658992641,0.0,0.18,7.385120175054703,143.36,0.0,0.19209372712298567
1627.08,14.197302560697924,0.0,609.56,124.18,8.921461483411786,122.0,10.534305862276831,0.0,0.17,7.033981802649193,139.01,0.0,0.18781639970992958
1631.29,13.99755246462752,0.0,612.49,121.0,8.84246006493668,123.0,10.59374697640075,0.0,0.16,6.747592163134936,135.06,0.0,0.18330302779823376
1635.51,13.947489917544303,0.0,615.7,117.65,8.624378238458702,124.0,10.517485440921702,0.0,0.16,6.716909631668419,130.98,0.0,0.18330302779823376
1639.71,13.66991130183367,0.0,618.77,114.42,8.45955672597566,125.0,10.575881759929048,0.0,0.16,6.615202188897933,126.94,0.0,0.18330302779823376
1643.71,13.620993906466587,0.0,621.61,111.74,8.387961611738577,126.0,10.666980594338774,0.0,0.16,6.377546550202515,122.78,0.0,0.18330302779823376
1647.56,13.571352180236135,0.0,624.17,109.46,8.272960473736106,127.0,10.655293285498992,0.0,0.16,6.22873181313821,118.65,0.0,0.18330302779823376
1650.94,13.38596653215598,0.0,626.92,106.81,8.058552909797145,128.0,10.84911977996372,0.0,0.16,6.021916223263156,115.17,0.0,0.18330302779823376
1654.64,13.341574120020473,0.0,629.93,103.51,7.794267123982857,129.0,10.703563658894172,0.0,0.16,5.941588592287419,111.76,0.0,0.18330302779823376
