Recovered,Recovered_STD,Vaccinated,Dead,Hospitalised,Infected_STD,Time,Dead_STD,Vaccinated_STD,Susceptible,Hospitalised_STD,Infected,Time_STD,Susceptible_STD
0.0020520000000000013,0.0011657169467756737,0.0,1.6799999999999996E-4,0.001344,0.010298068945195502,10.0,2.4774180107523224E-4,0.0,0.9803599999999997,0.0010221858930742492,0.016075999999999997,0.0,0.01179511763400433
0.0028600000000000027,0.0015619218930535551,0.0,2.4400000000000002E-4,0.0017360000000000003,0.013237326618316858,11.0,3.0407893711995254E-4,0.0,0.9744320000000001,0.0013543647957622055,0.02072799999999999,0.0,0.015487871900296695
0.003652000000000001,0.0021664016248147525,0.0,3.200000000000001E-4,0.002204,0.01720990412524137,12.0,3.4409301068170505E-4,0.0,0.966744,0.0016203653908918197,0.027080000000000003,0.0,0.02020835629139589
0.004776,0.0028603887847633578,0.0,4.040000000000001E-4,0.003064,0.021311752250812225,13.0,3.687600846078657E-4,0.0,0.9572520000000003,0.002084779124991422,0.03450399999999998,0.0,0.025461730027631666
0.006183999999999999,0.0035509638128260338,0.0,5.279999999999998E-4,0.003948000000000002,0.02744837306654076,14.0,4.2663333203114845E-4,0.0,0.9448360000000001,0.002592700522621153,0.04450400000000001,0.0,0.03304818760537406
0.008223999999999997,0.0046645282719692035,0.0,7.599999999999997E-4,0.005071999999999998,0.03487415983217373,15.0,6.511528238439883E-4,0.0,0.9296199999999998,0.0031255745071906383,0.056324000000000006,0.0,0.04229024946722353
0.010591999999999997,0.005985443676119592,0.0,9.96E-4,0.006712000000000001,0.0430717375549211,16.0,8.246114236414628E-4,0.0,0.9106320000000006,0.004208022813626372,0.07106799999999999,0.0,0.05306588146822778
0.013739999999999997,0.007904302625785531,0.0,0.00138,0.008232,0.051738385595223216,17.0,0.0010172511980823618,0.0,0.8878640000000001,0.005178472361613992,0.08878400000000003,0.0,0.06470536843261153
0.017712000000000006,0.0100097680292802,0.0,0.001792,0.010408000000000004,0.06186695027233846,18.0,0.0012705652285498763,0.0,0.8603960000000002,0.006439870806157527,0.10969200000000004,0.0,0.07848367973024709
0.022756000000000002,0.012827207958086593,0.0,0.002196000000000001,0.013268000000000002,0.07248463384745762,19.0,0.001496122989596778,0.0,0.8281960000000004,0.007994809316050006,0.133584,0.0,0.09368644717353733
0.028575999999999994,0.01619573474714871,0.0,0.0029120000000000014,0.01652,0.08294996843881254,20.0,0.002030235454325434,0.0,0.7907479999999998,0.009371531358321328,0.16124399999999997,0.0,0.10933332015447077
0.03555599999999998,0.019840878609577752,0.0,0.0037320000000000014,0.02024,0.09317625199588145,21.0,0.002466450080581401,0.0,0.7475800000000002,0.010980856068631443,0.19289199999999995,0.0,0.1251146849894128
0.044223999999999986,0.02409450194546466,0.0,0.004780000000000001,0.024916000000000008,0.1018840215931821,22.0,0.002988712097208428,0.0,0.6999920000000001,0.012953862126794466,0.22608799999999998,0.0,0.14037356993394448
0.05410800000000001,0.028440301264227145,0.0,0.005956,0.030263999999999992,0.10744335690958283,23.0,0.003592389733867973,0.0,0.6482559999999998,0.015157015009559108,0.2614160000000001,0.0,0.15279466503775582
